customer_customerNumber,customer_customerName,customer_contactFirstName,customer_contactLastName,customer_phone,customer_addressLine1,customer_addressLine2,customer_postalCode,customer_county,customer_subCounty,customer_status,customerorder_orderNumber,customerorder_orderDate,customerorder_requiredDate,customerorder_dispatchDate,customerorder_orderStatusID,customerorder_customerNumber,customerfeedback_customerfeedbackID,customerfeedback_foodquality,customerfeedback_servicequality,customerfeedback_pricetovalue,customerfeedback_ambiance,customerfeedback_comment,orderdetail_productCode,orderdetail_quantityOrdered,orderdetail_priceEach,product_productName,product_productDescription,product_quantityInStock,product_costOfProduction,product_sellingPrice,productcategory_productCategoryID,productcategory_categoryName,productcategory_categoryDescription,orderstatus_orderStatusID,orderstatus_status,branch_branchCode,branch_phone,branch_addressLine1,branch_addressLine2,branch_postalCode,branch_county,branch_subCounty
649,[Business] Nyali Palace,Michelle,Bizimana,0767443584,148 Jogoo Rd,Apt 80,5693,Mombasa,Kesses,0,119,2023-10-30 12:38:07,2023-11-01 03:36:51,2023-10-31 18:15:20,5,649,4624,1,1,1,2,Reservation was lost.,P028,4,150.00,Matumbo,"Tripe stew cooked with onions, tomatoes, and spices.",50,70.00,150.00,3,Meat-Based Dishes,"Dishes made with different types of meat, such as beef, chicken, or goat.",5,Cancelled,1,0700000001,Westlands Commercial Centre,"Ring Road, Westlands",00100,Nairobi,Westlands
219,[Business] PrideInn Hotel,Kamau,Munyao,0735006730,293 State House Rd,Apt 50,68020,Tharaka-Nithi,Kesses,1,132,2022-09-02 17:49:43,2022-09-06 14:32:06,2022-09-06 21:47:14,2,219,1570,5,5,4,5,Great place for celebrations.,P001,2,20.00,Ugali,"A staple food made from maize flour, cooked with water to a dough-like consistency.",100,10.00,20.00,1,Staple Foods,Essential carbohydrate-rich foods commonly served as the main part of meals.,2,Processing,1,0700000001,Westlands Commercial Centre,"Ring Road, Westlands",00100,Nairobi,Westlands
219,[Business] PrideInn Hotel,Kamau,Munyao,0735006730,293 State House Rd,Apt 50,68020,Tharaka-Nithi,Kesses,1,132,2022-09-02 17:49:43,2022-09-06 14:32:06,2022-09-06 21:47:14,2,219,1570,5,5,4,5,Great place for celebrations.,P007,4,80.00,Mukimo,"Mashed potatoes mixed with maize, beans, and greens.",90,40.00,80.00,5,Legume-Based Dishes,"Dishes featuring beans, lentils, or other legumes, cooked with spices or coconut milk.",2,Processing,1,0700000001,Westlands Commercial Centre,"Ring Road, Westlands",00100,Nairobi,Westlands
219,[Business] PrideInn Hotel,Kamau,Munyao,0735006730,293 State House Rd,Apt 50,68020,Tharaka-Nithi,Kesses,1,132,2022-09-02 17:49:43,2022-09-06 14:32:06,2022-09-06 21:47:14,2,219,1570,5,5,4,5,Great place for celebrations.,P031,6,300.00,Fish Curry,Fish cooked in a spiced coconut milk curry.,50,150.00,300.00,7,Fish Dishes,"Dishes prepared using fish as the main ingredient, either fried, grilled, or cooked in stews.",2,Processing,1,0700000001,Westlands Commercial Centre,"Ring Road, Westlands",00100,Nairobi,Westlands
405,[Business] Safari Inn,Pierre,Mutua,0720282591,422 Eastleigh Rd,Apt 3,26208,Eldoret,Kasarani,1,157,2025-05-04 11:52:42,2025-05-05 21:48:32,2025-05-07 00:11:24,2,405,2947,3,4,4,4,Very accommodating to dietary needs.,P095,4,50.00,Chakalaka,"A spicy vegetable relish made with tomatoes, onions, peppers, and beans.",100,20.00,50.00,10,Combination Plates,"Meals that combine multiple components, such as staples paired with vegetables, beans, or meat.",2,Processing,1,0700000001,Westlands Commercial Centre,"Ring Road, Westlands",00100,Nairobi,Westlands
405,[Business] Safari Inn,Pierre,Mutua,0720282591,422 Eastleigh Rd,Apt 3,26208,Eldoret,Kasarani,1,157,2025-05-04 11:52:42,2025-05-05 21:48:32,2025-05-07 00:11:24,2,405,2947,3,4,4,4,Very accommodating to dietary needs.,P087,2,50.00,Moi Moi,"A steamed bean pudding made from blended black-eyed peas, onions, and spices.",70,20.00,50.00,10,Combination Plates,"Meals that combine multiple components, such as staples paired with vegetables, beans, or meat.",2,Processing,1,0700000001,Westlands Commercial Centre,"Ring Road, Westlands",00100,Nairobi,Westlands
405,[Business] Safari Inn,Pierre,Mutua,0720282591,422 Eastleigh Rd,Apt 3,26208,Eldoret,Kasarani,1,157,2025-05-04 11:52:42,2025-05-05 21:48:32,2025-05-07 00:11:24,2,405,2947,3,4,4,4,Very accommodating to dietary needs.,P038,5,150.00,Supu ya Mbuzi,Goat soup cooked with spices.,60,70.00,150.00,6,Soup/Stew Dishes,"Soups or stews made with a variety of ingredients, including meat, vegetables, or plantains.",2,Processing,1,0700000001,Westlands Commercial Centre,"Ring Road, Westlands",00100,Nairobi,Westlands
691,[Business] Nyali Retreat,Alain,Kagame,0749659208,960 Uhuru Hwy,Apt 62,84388,Mandera,Naivasha,0,160,2024-11-15 22:31:32,2024-11-19 11:10:23,2024-11-21 21:15:22,5,691,4936,1,1,2,1,The steak was overcooked.,P002,1,20.00,Sukuma Wiki,Collard greens saut̩ed with onions and tomatoes.,100,10.00,20.00,2,Vegetable-Based Dishes,"Dishes that primarily consist of vegetables, often saut̩ed or cooked with spices.",5,Cancelled,1,0700000001,Westlands Commercial Centre,"Ring Road, Westlands",00100,Nairobi,Westlands
744,Otieno Munywe,Otieno,Munywe,0706733843,894 State House Rd,Apt 59,73690,Mombasa,Westlands,1,242,2023-06-03 11:17:44,2023-06-07 21:11:59,2023-06-05 06:25:28,1,744,5300,3,3,3,3,Excellent value for money.,P070,5,200.00,Nyama na Sukuma,Beef served with collard greens.,60,100.00,200.00,3,Meat-Based Dishes,"Dishes made with different types of meat, such as beef, chicken, or goat.",1,Pending,1,0700000001,Westlands Commercial Centre,"Ring Road, Westlands",00100,Nairobi,Westlands
744,Otieno Munywe,Otieno,Munywe,0706733843,894 State House Rd,Apt 59,73690,Mombasa,Westlands,1,242,2023-06-03 11:17:44,2023-06-07 21:11:59,2023-06-05 06:25:28,1,744,5300,3,3,3,3,Excellent value for money.,P011,1,60.00,Matoke,"Steamed or boiled plantains, often served with a meat stew.",70,30.00,60.00,6,Soup/Stew Dishes,"Soups or stews made with a variety of ingredients, including meat, vegetables, or plantains.",1,Pending,1,0700000001,Westlands Commercial Centre,"Ring Road, Westlands",00100,Nairobi,Westlands
664,[Business] Hilton Manor,Wanjiku,Kabila,0762169884,78 Kilimani Rd,Apt 31,55524,Nakuru,Naivasha,1,261,2023-07-03 08:23:25,2023-07-04 18:14:19,2023-07-07 17:28:32,3,664,4739,3,3,3,2,Loved the open kitchen concept.,P009,5,50.00,Samosa,Deep-fried pastry filled with spiced meat or vegetables.,100,20.00,50.00,9,Fried Dishes,"Dishes that are deep-fried, often using batter or dough, and served as snacks or accompaniments.",3,In Transit,1,0700000001,Westlands Commercial Centre,"Ring Road, Westlands",00100,Nairobi,Westlands
492,Michel Munywe,Michel,Munywe,0786925995,178 Nakuru Blvd,Apt 63,51724,Kisumu,Kisumu West,1,273,2022-12-05 16:15:48,2022-12-08 12:32:47,,4,492,3548,4,5,4,5,Loved the ambiance.,P005,4,70.00,Githeri,A traditional Kikuyu dish of boiled maize and beans.,80,30.00,70.00,5,Legume-Based Dishes,"Dishes featuring beans, lentils, or other legumes, cooked with spices or coconut milk.",4,Delivered,1,0700000001,Westlands Commercial Centre,"Ring Road, Westlands",00100,Nairobi,Westlands
492,Michel Munywe,Michel,Munywe,0786925995,178 Nakuru Blvd,Apt 63,51724,Kisumu,Kisumu West,1,273,2022-12-05 16:15:48,2022-12-08 12:32:47,,4,492,3548,4,5,4,5,Loved the ambiance.,P047,8,70.00,Matoke na Maharagwe,Plantains cooked with beans.,70,30.00,70.00,6,Soup/Stew Dishes,"Soups or stews made with a variety of ingredients, including meat, vegetables, or plantains.",4,Delivered,1,0700000001,Westlands Commercial Centre,"Ring Road, Westlands",00100,Nairobi,Westlands
538,[Business] Hilton Lodge,Alain,Odhiambo,0746460529,835 Koinange St,Apt 64,22274,Garissa,Muhoroni,0,313,2025-05-21 12:40:21,2025-05-25 00:51:32,2025-05-25 19:25:55,1,538,3859,4,4,4,4,Order was incorrect.,P034,3,300.00,Kuku Fry,"Fried chicken, marinated with spices.",50,150.00,300.00,3,Meat-Based Dishes,"Dishes made with different types of meat, such as beef, chicken, or goat.",1,Pending,1,0700000001,Westlands Commercial Centre,"Ring Road, Westlands",00100,Nairobi,Westlands
441,[Business] Serena Manor,Mwangi,Mutua,0745842062,254 Kileleshwa Rd,Apt 18,3794,Laikipia,Embakasi,0,317,2022-08-06 08:57:49,2022-08-11 07:38:10,2022-08-12 08:21:35,2,441,3203,2,1,1,1,Average experience.,P074,5,70.00,Shiro,Chickpea stew seasoned with berbere and other spices.,80,30.00,70.00,11,African Cultural Specials,"Specialty dishes unique to African cultures, showcasing traditional recipes and flavors.",2,Processing,1,0700000001,Westlands Commercial Centre,"Ring Road, Westlands",00100,Nairobi,Westlands
441,[Business] Serena Manor,Mwangi,Mutua,0745842062,254 Kileleshwa Rd,Apt 18,3794,Laikipia,Embakasi,0,317,2022-08-06 08:57:49,2022-08-11 07:38:10,2022-08-12 08:21:35,2,441,3203,2,1,1,1,Average experience.,P088,7,100.00,Banga Soup,"A rich and flavorful Nigerian soup made from palm nut extract, meat, and spices.",60,50.00,100.00,10,Combination Plates,"Meals that combine multiple components, such as staples paired with vegetables, beans, or meat.",2,Processing,1,0700000001,Westlands Commercial Centre,"Ring Road, Westlands",00100,Nairobi,Westlands
182,Jacqueline Lumumba,Jacqueline,Lumumba,0766775589,470 Embakasi Rd,Apt 1,83310,Nyeri,Kisumu East,1,323,2022-02-11 00:51:47,2022-02-14 18:31:54,2022-02-12 15:37:31,3,182,1301,4,4,3,4,Everything was perfect from start to finish.,P082,8,80.00,Egusi Soup,"A Nigerian soup made with melon seeds, leafy vegetables, and meat or fish.",70,40.00,80.00,10,Combination Plates,"Meals that combine multiple components, such as staples paired with vegetables, beans, or meat.",3,In Transit,1,0700000001,Westlands Commercial Centre,"Ring Road, Westlands",00100,Nairobi,Westlands
182,Jacqueline Lumumba,Jacqueline,Lumumba,0766775589,470 Embakasi Rd,Apt 1,83310,Nyeri,Kisumu East,1,323,2022-02-11 00:51:47,2022-02-14 18:31:54,2022-02-12 15:37:31,3,182,1301,4,4,3,4,Everything was perfect from start to finish.,P033,8,50.00,Ugali na Sukuma,Ugali served with saut̩ed collard greens.,100,20.00,50.00,1,Staple Foods,Essential carbohydrate-rich foods commonly served as the main part of meals.,3,In Transit,1,0700000001,Westlands Commercial Centre,"Ring Road, Westlands",00100,Nairobi,Westlands
358,[Business] Ole Sereni Suites,Jacqueline,Osman,0730544310,622 Lavington Rd,Apt 87,24576,Isiolo,Turbo,1,331,2024-12-16 12:58:32,2024-12-17 08:35:31,2024-12-19 09:13:05,2,358,2602,1,1,2,1,Reservation was lost.,P097,1,100.00,Sosaties,"Marinated meat skewers, typically made with lamb or chicken, grilled and served with apricots.",70,50.00,100.00,10,Combination Plates,"Meals that combine multiple components, such as staples paired with vegetables, beans, or meat.",2,Processing,1,0700000001,Westlands Commercial Centre,"Ring Road, Westlands",00100,Nairobi,Westlands
358,[Business] Ole Sereni Suites,Jacqueline,Osman,0730544310,622 Lavington Rd,Apt 87,24576,Isiolo,Turbo,1,331,2024-12-16 12:58:32,2024-12-17 08:35:31,2024-12-19 09:13:05,2,358,2602,1,1,2,1,Reservation was lost.,P080,8,70.00,Firfir,Shredded injera mixed with spicy sauce.,70,30.00,70.00,11,African Cultural Specials,"Specialty dishes unique to African cultures, showcasing traditional recipes and flavors.",2,Processing,1,0700000001,Westlands Commercial Centre,"Ring Road, Westlands",00100,Nairobi,Westlands
616,[Business] Swahili Suites,Joseph,Hassan,0710694961,234 Langata Rd,Apt 6,39556,Nairobi,Eldoret East,1,332,2023-03-30 05:21:25,2023-03-31 20:27:44,2023-03-31 07:41:57,4,616,4387,5,5,5,5,Great food and service!,P082,8,80.00,Egusi Soup,"A Nigerian soup made with melon seeds, leafy vegetables, and meat or fish.",70,40.00,80.00,10,Combination Plates,"Meals that combine multiple components, such as staples paired with vegetables, beans, or meat.",4,Delivered,1,0700000001,Westlands Commercial Centre,"Ring Road, Westlands",00100,Nairobi,Westlands
616,[Business] Swahili Suites,Joseph,Hassan,0710694961,234 Langata Rd,Apt 6,39556,Nairobi,Eldoret East,1,332,2023-03-30 05:21:25,2023-03-31 20:27:44,2023-03-31 07:41:57,4,616,4387,5,5,5,5,Great food and service!,P040,4,200.00,Nyama na Wali,Beef served with rice.,60,100.00,200.00,3,Meat-Based Dishes,"Dishes made with different types of meat, such as beef, chicken, or goat.",4,Delivered,1,0700000001,Westlands Commercial Centre,"Ring Road, Westlands",00100,Nairobi,Westlands
616,[Business] Swahili Suites,Joseph,Hassan,0710694961,234 Langata Rd,Apt 6,39556,Nairobi,Eldoret East,1,332,2023-03-30 05:21:25,2023-03-31 20:27:44,2023-03-31 07:41:57,4,616,4387,5,5,5,5,Great food and service!,P061,3,70.00,Wali wa Nazi na Samaki,Coconut rice served with fish.,80,30.00,70.00,4,Rice Dishes,"Dishes that use rice as the main ingredient, often spiced or paired with other accompaniments.",4,Delivered,1,0700000001,Westlands Commercial Centre,"Ring Road, Westlands",00100,Nairobi,Westlands
712,[Business] InterContinental Haven,Alaine,Mbeki,0716255278,327 Mombasa Rd,Apt 78,27456,Muranga,Nyali,0,354,2022-06-05 21:36:56,2022-06-10 18:55:15,2022-06-06 02:28:02,4,712,5056,3,3,2,2,Food lacked flavor.,P028,8,150.00,Matumbo,"Tripe stew cooked with onions, tomatoes, and spices.",50,70.00,150.00,3,Meat-Based Dishes,"Dishes made with different types of meat, such as beef, chicken, or goat.",4,Delivered,1,0700000001,Westlands Commercial Centre,"Ring Road, Westlands",00100,Nairobi,Westlands
400,[Business] Ole Sereni Palace,Josephine,Mwangi,0766995192,882 Koinange St,Apt 49,56824,Embu,Nakuru Town,1,368,2021-02-26 01:50:54,2021-03-02 15:17:20,2021-02-28 18:56:17,4,400,2916,4,5,4,5,Great selection of wines.,P058,8,200.00,Nyama na Matoke,Beef served with plantains.,60,100.00,200.00,3,Meat-Based Dishes,"Dishes made with different types of meat, such as beef, chicken, or goat.",4,Delivered,1,0700000001,Westlands Commercial Centre,"Ring Road, Westlands",00100,Nairobi,Westlands
400,[Business] Ole Sereni Palace,Josephine,Mwangi,0766995192,882 Koinange St,Apt 49,56824,Embu,Nakuru Town,1,368,2021-02-26 01:50:54,2021-03-02 15:17:20,2021-02-28 18:56:17,4,400,2916,4,5,4,5,Great selection of wines.,P043,1,70.00,Wali wa Pilau,Spiced rice cooked with meat.,80,30.00,70.00,4,Rice Dishes,"Dishes that use rice as the main ingredient, often spiced or paired with other accompaniments.",4,Delivered,1,0700000001,Westlands Commercial Centre,"Ring Road, Westlands",00100,Nairobi,Westlands
400,[Business] Ole Sereni Palace,Josephine,Mwangi,0766995192,882 Koinange St,Apt 49,56824,Embu,Nakuru Town,1,368,2021-02-26 01:50:54,2021-03-02 15:17:20,2021-02-28 18:56:17,4,400,2916,4,5,4,5,Great selection of wines.,P001,4,20.00,Ugali,"A staple food made from maize flour, cooked with water to a dough-like consistency.",100,10.00,20.00,1,Staple Foods,Essential carbohydrate-rich foods commonly served as the main part of meals.,4,Delivered,1,0700000001,Westlands Commercial Centre,"Ring Road, Westlands",00100,Nairobi,Westlands
203,Claude Munee,Claude,Munee,0747820557,35 Runda Dr,Apt 13,35236,Muranga,Eldoret West,1,385,2023-02-10 17:45:47,2023-02-13 03:41:15,2023-02-14 02:52:54,4,203,1467,5,4,4,5,Quick and efficient service.,P054,3,60.00,Maharagwe na Sukuma,Beans served with collard greens.,90,30.00,60.00,5,Legume-Based Dishes,"Dishes featuring beans, lentils, or other legumes, cooked with spices or coconut milk.",4,Delivered,1,0700000001,Westlands Commercial Centre,"Ring Road, Westlands",00100,Nairobi,Westlands
203,Claude Munee,Claude,Munee,0747820557,35 Runda Dr,Apt 13,35236,Muranga,Eldoret West,1,385,2023-02-10 17:45:47,2023-02-13 03:41:15,2023-02-14 02:52:54,4,203,1467,5,4,4,5,Quick and efficient service.,P027,2,200.00,Nyama Stew,"Beef stew cooked with potatoes, carrots, and peas.",60,100.00,200.00,3,Meat-Based Dishes,"Dishes made with different types of meat, such as beef, chicken, or goat.",4,Delivered,1,0700000001,Westlands Commercial Centre,"Ring Road, Westlands",00100,Nairobi,Westlands
203,Claude Munee,Claude,Munee,0747820557,35 Runda Dr,Apt 13,35236,Muranga,Eldoret West,1,385,2023-02-10 17:45:47,2023-02-13 03:41:15,2023-02-14 02:52:54,4,203,1467,5,4,4,5,Quick and efficient service.,P078,4,30.00,Atayef,"Sweet stuffed pancakes, typically filled with nuts or cream.",100,10.00,30.00,8,Sweet Snacks/Desserts,"Sweet dishes or snacks, often fried or baked, served as a dessert or treat.",4,Delivered,1,0700000001,Westlands Commercial Centre,"Ring Road, Westlands",00100,Nairobi,Westlands
9,[Business] Swahili Haven,Patricia,Mbeki,0735792237,419 Moi Ave,Apt 21,4097,Laikipia,Nyando,1,387,2022-04-05 03:38:47,2022-04-09 14:53:11,2022-04-09 23:54:41,2,9,59,4,3,4,3,The chef came to greet us personally.,P075,8,200.00,Tibs,"Saut̩ed meat, typically beef or lamb, with onions and peppers.",70,100.00,200.00,11,African Cultural Specials,"Specialty dishes unique to African cultures, showcasing traditional recipes and flavors.",2,Processing,1,0700000001,Westlands Commercial Centre,"Ring Road, Westlands",00100,Nairobi,Westlands
213,[Business] Voyager Haven,Marie,Mandela,0762128858,969 Karen Rd,Apt 30,35796,Nakuru,Subukia,1,389,2022-12-11 16:50:01,2022-12-15 01:18:08,2022-12-16 02:09:34,2,213,1528,1,1,1,1,Not impressed.,P048,8,60.00,Maharagwe na Chapati,Beans served with chapati.,90,30.00,60.00,5,Legume-Based Dishes,"Dishes featuring beans, lentils, or other legumes, cooked with spices or coconut milk.",2,Processing,1,0700000001,Westlands Commercial Centre,"Ring Road, Westlands",00100,Nairobi,Westlands
754,Pierrette Omondi,Pierrette,Omondi,0709708823,580 Buruburu Rd,Apt 67,7308,Mombasa,Langata,0,399,2024-11-14 17:30:30,2024-11-16 01:24:34,2024-11-15 01:58:47,5,754,5370,2,1,1,2,The sauce was watery.,P088,1,100.00,Banga Soup,"A rich and flavorful Nigerian soup made from palm nut extract, meat, and spices.",60,50.00,100.00,10,Combination Plates,"Meals that combine multiple components, such as staples paired with vegetables, beans, or meat.",5,Cancelled,1,0700000001,Westlands Commercial Centre,"Ring Road, Westlands",00100,Nairobi,Westlands
754,Pierrette Omondi,Pierrette,Omondi,0709708823,580 Buruburu Rd,Apt 67,7308,Mombasa,Langata,0,399,2024-11-14 17:30:30,2024-11-16 01:24:34,2024-11-15 01:58:47,5,754,5370,2,1,1,2,The sauce was watery.,P056,7,150.00,Supu ya Samaki,Fish soup cooked with spices.,60,70.00,150.00,7,Fish Dishes,"Dishes prepared using fish as the main ingredient, either fried, grilled, or cooked in stews.",5,Cancelled,1,0700000001,Westlands Commercial Centre,"Ring Road, Westlands",00100,Nairobi,Westlands
754,Pierrette Omondi,Pierrette,Omondi,0709708823,580 Buruburu Rd,Apt 67,7308,Mombasa,Langata,0,399,2024-11-14 17:30:30,2024-11-16 01:24:34,2024-11-15 01:58:47,5,754,5370,2,1,1,2,The sauce was watery.,P084,4,100.00,Suya,"Spicy skewered meat, typically beef or chicken, grilled and served with onions and tomatoes.",60,50.00,100.00,10,Combination Plates,"Meals that combine multiple components, such as staples paired with vegetables, beans, or meat.",5,Cancelled,1,0700000001,Westlands Commercial Centre,"Ring Road, Westlands",00100,Nairobi,Westlands
543,[Business] InterContinental Residences,Michel,Munyui,0712110885,101 Tom Mboya St,Apt 85,25077,Laikipia,Muhoroni,0,400,2022-01-12 23:32:53,2022-01-15 17:42:08,2022-01-16 04:16:16,1,543,3902,2,1,1,2,Food was undercooked.,P087,7,50.00,Moi Moi,"A steamed bean pudding made from blended black-eyed peas, onions, and spices.",70,20.00,50.00,10,Combination Plates,"Meals that combine multiple components, such as staples paired with vegetables, beans, or meat.",1,Pending,1,0700000001,Westlands Commercial Centre,"Ring Road, Westlands",00100,Nairobi,Westlands
